model_name,size,seed,quant,rep,accuracy,f1,throughput,latency,gpu_peak_mem_mb,cpu_rss_mb,param_count,param_mem_mb,vm_instance
hpieris/VibeLlama-11b-seed-123,11,123.0,4bit,1,0.9590065107306488,0.9589570255915016,6.527032871960186,0.1532089725326727,6644.0,2905.4609375,5421635600,6197.199249267578,eval_01
hpieris/VibeLlama-11b-seed-456,11,456.0,4bit,1,0.9604533397636846,0.960538979788258,6.519022054048546,0.1533972414434407,6644.0,2996.34765625,5421635600,6197.199249267578,eval_01
hpieris/VibeLlama-11b-seed-789,11,789.0,4bit,1,0.9585242343863032,0.9588122605363985,6.530563257161737,0.1531261486370798,6644.0,3020.875,5421635600,6197.199249267578,eval_01
hpieris/VibeLlama-11b-seed-555,11,555.0,4bit,1,0.9582830962141308,0.9580402619451855,6.485342841814848,0.1541938528758121,6644.0,2997.609375,5421635600,6197.199249267578,eval_01
meta-llama/Llama-3.2-1B-Instruct,1,,bf16,1,0.5145888594164456,0.1473951715374841,3.8038620325109735,0.26289071250565,2912.0,2864.71875,1235814400,2357.12890625,eval_01
meta-llama/Llama-3.2-1B-Instruct,1,,4bit,1,0.506631299734748,0.0275665399239543,3.4168989065739708,0.2926630337456112,1108.0,2867.48828125,749275136,965.12890625,eval_01
meta-llama/Llama-3.2-3B-Instruct,3,,bf16,1,0.5032553653243308,0.0134099616858237,1.1032839858367065,0.906384949693276,6976.0,2867.48828125,3212749824,6127.833984375,eval_01
meta-llama/Llama-3.2-3B-Instruct,3,,4bit,1,0.5107306486616832,0.0433757661480433,0.6207218094023736,1.611027653374694,2306.0,3181.9140625,1803463680,2095.833984375,eval_01
meta-llama/Llama-3.2-11B-Vision-Instruct,11,,bf16,1,0.6054979503255365,0.3497615262321145,3.561197534828736,0.2808044176769014,18790.0,2909.578125,9775192080,18644.699249267574,eval_01
meta-llama/Llama-3.2-11B-Vision-Instruct,11,,4bit,1,0.7612732095490716,0.6878940731399747,6.484404204726322,0.1542161729016098,6618.0,3223.81640625,5413115920,6164.699249267578,eval_01
hpieris/VibeLlama-1b-seed-42,1,42.0,4bit,1,0.937786351579455,0.9378313253012048,12.285551814624856,0.0813964252553628,1102.0,1784.98046875,750979072,971.62890625,eval_02
hpieris/VibeLlama-1b-seed-123,1,123.0,4bit,1,0.939233180612491,0.9393939393939394,12.264468022766604,0.0815363534842028,1114.0,1908.79296875,750979072,971.62890625,eval_02
hpieris/VibeLlama-1b-seed-456,1,456.0,4bit,1,0.9344104171690378,0.9342995169082126,12.68067455039043,0.0788601581111637,1114.0,2158.5625,750979072,971.62890625,eval_02
hpieris/VibeLlama-1b-seed-789,1,789.0,4bit,1,0.9368217988907644,0.9367760617760618,12.825710588836234,0.0779683895931989,1114.0,2101.48046875,750979072,971.62890625,eval_02
hpieris/VibeLlama-1b-seed-555,1,555.0,4bit,1,0.9373040752351096,0.9374699374699376,12.993040506717175,0.076964279414277,1114.0,2254.69140625,750979072,971.62890625,eval_02
hpieris/VibeLlama-3b-seed-42,3,42.0,4bit,1,0.9520135037376416,0.9519903498190592,7.568714461742686,0.1321228334157226,2302.0,2205.02734375,1808051200,2113.333984375,eval_02
hpieris/VibeLlama-3b-seed-123,3,123.0,4bit,1,0.9539426091150228,0.9540754989180092,7.552540534857481,0.1324057772857581,2302.0,2211.34765625,1808051200,2113.333984375,eval_02
hpieris/VibeLlama-3b-seed-456,3,456.0,4bit,1,0.951048951048951,0.9510253317249698,7.528335009663522,0.1328314957711605,2302.0,2213.92578125,1808051200,2113.333984375,eval_02
hpieris/VibeLlama-3b-seed-789,3,789.0,4bit,1,0.9503255365324332,0.9505045651129264,7.491842279369212,0.1334785173940149,2302.0,2208.26171875,1808051200,2113.333984375,eval_02
hpieris/VibeLlama-3b-seed-555,3,555.0,4bit,1,0.9515312273932964,0.951624548736462,7.551619593657811,0.1324219245418353,2302.0,2210.85546875,1808051200,2113.333984375,eval_02
hpieris/VibeLlama-11b-seed-42,11,42.0,4bit,1,0.9578008198697854,0.9576578756351318,6.654970418691506,0.1502636280983829,6644.0,2448.1015625,5421635600,6197.199249267578,eval_02
hpieris/VibeLlama-11b-seed-123,11,123.0,4bit,1,0.9590065107306488,0.9589570255915016,6.673478608288878,0.149846887762244,6644.0,2671.05078125,5421635600,6197.199249267578,eval_02
hpieris/VibeLlama-11b-seed-456,11,456.0,4bit,1,0.9604533397636846,0.960538979788258,6.622208747097963,0.151007018683642,6644.0,2670.0078125,5421635600,6197.199249267578,eval_02
hpieris/VibeLlama-11b-seed-789,11,789.0,4bit,1,0.9585242343863032,0.9588122605363985,6.624461670184686,0.1509556624805892,6644.0,2477.09765625,5421635600,6197.199249267578,eval_02
hpieris/VibeLlama-11b-seed-555,11,555.0,4bit,1,0.9582830962141308,0.9580402619451855,6.611479550029968,0.1512520748847309,6644.0,2813.6875,5421635600,6197.199249267578,eval_02
